Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed,Maximum Speed
EV146,09/22/2022,,74.2787123200509,1.6960686111111112,2.652935,4.349003611111111,100,85.7125,74.535,108.278114,47.66,10358.9785651794,10433.2634912113,100,57.14,0.38999015930405007,,99.737414,8.539512,13.8725525412361,56.8748819394735
EV146,09/23/2022,,74.1047283862245,1.6915341666666668,2.604203611111111,4.295737777777778,100,84.415,70.5025,103.972719,63.14,10433.2634912113,10507.3744333095,100,59.0225,0.3937703496282103,,96.606076,7.364156,10.7245785631099,57.5229528304701
EV146,09/26/2022,,74.1171558100692,2.6253216666666668,2.5948474999999998,5.2201691666666665,100,67.9275,74.8,111.377492,63.31999999999999,10507.3744333095,10581.4978028315,100,23.33,0.502918886887925,,94.598149,16.779275,13.1885677363656,55.5204872295793
EV146,09/27/2022,,,0.019475,0,0.019475,,,,,60.26,,,,,1,,,,,
EV146,10/03/2022,,0.0434959834566134,0.5404905555555556,0.009065,0.5495555555555556,62.665,62.5825,-2.6225,1.008889,53.06,10581.6842141891,10581.7401375964,62.665,61.0375,0.9835048524059846,,0.10109,0.872274,0.104489340180177,4.28406294738726
EV146,10/07/2022,,0.01864113576712,0.07291944444444444,0.014728333333333333,0.08764777777777777,100,100,0,0.318056,39.019999999999996,10581.9576175137,10581.9824723614,100,100,0.8319599913796383,,0.146384,0.163928,1.14461287154447,8.01229010081126
EV146,10/27/2022,,76.6088542909409,1.6299436111111112,2.6356627777777777,4.265606388888889,100,67.475,109.095,145.686504,35.42,10581.9824723614,10658.5975403643,100,20.835,0.3821129899272495,,127.972293,17.703971,14.2761725514429,58.2462674232482
EV146,10/28/2022,,,0.01974638888888889,0,0.01974638888888889,,,,,41.36,,,,,1,,,,,
EV146,11/03/2022,,43.7693867811978,3.0478747222222222,1.5235108333333334,4.571385555555556,100,38.665,60.5425,85.753489,31.46,10658.5975403643,10702.3731408574,100,34.59,0.666728869219568,,68.426298,17.29553,8.56376492237713,53.5204487045653
EV146,11/04/2022,,75.4655312972242,1.4709766666666668,2.622847222222222,4.093823888888889,72.725,85.68,94.57,126.687361,30.92,10702.3731408574,10777.8448858665,100,25.9525,0.35931605916391945,,115.15943,11.517918,13.1160993052691,56.991389038018
EV146,11/07/2022,,74.2290026246719,1.6286697222222222,2.592358611111111,4.221028333333333,100,81.815,90.35,125.456375,38.12,10777.8448858665,10852.0801022031,100,14.1475,0.3858466690120667,,111.158066,14.297446,14.3887492156218,56.658858516265
EV146,11/08/2022,,79.057056788356,1.3270458333333333,2.685021388888889,4.012067222222222,100,85.7125,86.3525,120.862764,50.18,10852.0801022031,10931.1433727034,100,1.885,0.3307636088406074,,108.687761,12.174009,15.6156634957729,56.0884590242981
