Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV192,11/30/2022 06:53:00,11/30/2022 08:43:00,25,0.2,1.22,1.42,100,72.8,27.2,58.3,53.8714285714286,2405,2430,0.14084507042253522,,10.112468435650122
EV192,11/30/2022 11:31:00,11/30/2022 12:56:00,11,0.15000000000000002,0.74,0.89,90,75.2,14.8,31.6,61.65,2430,2441,0.16853932584269665,,9.628472222222221
EV192,12/01/2022 07:07:00,12/01/2022 10:19:00,54,0.21000000000000002,2.33,2.53,99.6,45.2,54.4,116.4,58.775,2441,2495,0.08267716535433071,,15.514248768472907
EV192,12/01/2022 14:20:00,12/01/2022 16:24:00,33,0.39,1.43,1.81,73.6,42.8,30.8,65.9,62.6,2495,2528,0.2142857142857143,,18.50470673117732
EV192,12/02/2022 06:54:00,12/02/2022 08:29:00,18,0.24,1.08,1.32,100,78.4,21.6,46.1,54.3142857142857,2528,2546,0.1818181818181818,,8.831385058114899
EV192,12/02/2022 08:57:00,12/02/2022 09:16:00,9,0.02,0.3,0.32,78.4,68.4,10,21.4,63,2546,2555,0.0625,,29.125
EV192,12/02/2022 14:25:00,12/02/2022 16:38:00,40,0.18,1.72,1.89,100,60,40,85.60000000000001,63.025,2555,2595,0.09473684210526316,,17.512394030266222
EV192,12/05/2022 07:04:00,12/05/2022 09:06:00,27,0.22,1.38,1.61,99.6,69.6,30,64.1,59.65,2595,2622,0.1375,,16.312897739741057
EV192,12/05/2022 11:41:00,12/05/2022 13:22:00,30,0.04,1.37,1.4100000000000001,85.6,56.8,28.8,61.6,64.5,2622,2652,0.028368794326241134,,18.27958305462653
EV192,12/05/2022 14:02:00,12/05/2022 14:24:00,12,0.04,0.32,0.36,60.8,52.8,8,17.1,63.6,2652,2664,0.11111111111111112,,32.80555555555556
EV192,12/05/2022 14:48:00,12/05/2022 16:21:00,28,0.13,1.31,1.44,52.8,30.8,22,47.1,62.75,2664,2692,0.09027777777777779,,17.784103114930183
EV192,12/06/2022 07:10:00,12/06/2022 08:52:00,26,0.08,1.33,1.4100000000000001,99.6,67.6,32,68.5,55.05,2692,2718,0.05673758865248227,,19.231858974358975
EV192,12/06/2022 12:45:00,12/06/2022 14:03:00,27,0.22,0.93,1.15,92.4,72,20.4,43.7,64.0666666666667,2718,2745,0.19130434782608693,,20.506899985773224
EV192,12/06/2022 14:44:00,12/06/2022 16:31:00,28,0.11,1.53,1.64,72,44.4,27.6,59.1,62.9333333333333,2745,2773,0.06707317073170731,,10.479628422425032
EV192,12/07/2022 06:47:00,12/07/2022 09:12:00,28,0.45,1.3800000000000001,1.83,100,67.6,32.4,69.4,53.9375,2773,2801,0.2459016393442623,,10.611660040117487
EV192,12/07/2022 11:17:00,12/07/2022 12:39:00,12,0.27,0.76,1.04,81.6,67.2,14.4,30.9,64.95,2801,2813,0.2621359223300971,,7.960400049850449
EV192,12/07/2022 13:43:00,12/07/2022 14:11:00,13,0,0.47,0.47,73.6,64.4,9.2,19.7,62.9,2813,2826,0,,27.765957446808514
EV192,12/07/2022 14:50:00,12/07/2022 16:43:00,29,0.31,1.5,1.81,64.4,35.6,28.8,61.7,61.95,2826,2855,0.1712707182320442,,14.144673123486683
EV192,12/08/2022 06:59:00,12/08/2022 08:23:00,16,0.1,0.95,1.04,100,78,22,47.1,45.6555555555556,2855,2871,0.09523809523809523,,7.8146031746031746
EV192,12/08/2022 08:44:00,12/08/2022 09:06:00,10,0.02,0.34,0.37,77.6,68,9.6,20.5,57.5,2871,2881,0.05555555555555555,,25.18918918918919
EV192,12/08/2022 11:40:00,12/08/2022 13:09:00,26,0.13,1.14,1.27,84.4,61.2,23.2,49.599999999999994,61.45,2881,2907,0.10236220472440945,,18.300985747559892
EV192,12/09/2022 06:56:00,12/09/2022 08:55:00,26,0.24000000000000002,1.33,1.57,100,66.4,33.2,71.10000000000001,48.45,2907,2933,0.15286624203821655,,9.07011006422771
EV192,12/09/2022 14:22:00,12/09/2022 16:02:00,28,0.23,1.25,1.47,100,66.8,33.2,71.1,61.3,2933,2961,0.1554054054054054,,19.904578754578758
EV192,12/12/2022 06:51:00,12/12/2022 08:44:00,28,0.06,1.42,1.49,96.8,66.4,30.400000000000002,65,46.0333333333333,2961,2989,0.04054054054054054,,15.407380285563647
EV192,12/12/2022 14:26:00,12/12/2022 15:46:00,23,0.13,0.9299999999999999,1.06,100,78,22,47.2,55.9666666666667,2989,3012,0.12264150943396226,,21.40757808499744
EV192,12/13/2022 06:59:00,12/13/2022 08:52:00,27,0.17,1.37,1.55,100,67.6,32.4,69.3,46.1166666666667,3012,3039,0.1103896103896104,,11.608311170212765
EV192,12/15/2022 06:54:00,12/15/2022 08:21:00,17,0.15,0.99,1.1300000000000001,100,82.4,17.6,37.6,45.9,3077,3094,0.13157894736842105,,9.240175042348955
EV192,12/15/2022 12:46:00,12/15/2022 14:30:00,41,0.15000000000000002,1.42,1.58,96.8,57.2,39.6,84.8,62.1,3104,3145,0.09554140127388537,,25.718703703703703
EV192,12/16/2022 07:00:00,12/16/2022 08:49:00,25,0.12,1.21,1.32,100,70.4,29.2,62.6,51.4285714285714,3145,3170,0.09022556390977443,,11.099718348878012
EV192,12/16/2022 11:34:00,12/16/2022 13:22:00,30,0.17,1.34,1.51,88.4,55.6,32.8,70.2,67.2333333333333,3170,3200,0.11258278145695365,,14.39596450617284
EV192,01/04/2023 07:04:00,01/04/2023 09:00:00,30,0.28,1.3800000000000001,1.6600000000000001,100,70.4,29.2,62.5,57.84,3200,3230,0.1686746987951807,,9.20909948137671
EV192,01/05/2023 06:55:00,01/05/2023 08:57:00,28,0.81,1.18,1.99,100,72.8,27.2,58.2,55.8,3230,3258,0.407035175879397,,4.721934369602764
EV192,01/05/2023 14:20:00,01/05/2023 16:26:00,37,0.2,1.73,1.92,100,61.2,38.800000000000004,83,60.3333333333333,3258,3295,0.10362694300518135,,18.034343434343434
EV192,01/06/2023 07:11:00,01/06/2023 08:35:00,27,0.24000000000000002,1.09,1.33,100,70,30,64.2,48.9666666666667,3295,3322,0.1804511278195489,,6.904392764857881
EV192,01/06/2023 15:03:00,01/06/2023 16:13:00,20,0.04,1.03,1.07,100,82.4,17.599999999999998,37.7,60.1666666666667,3322,3342,0.037383177570093455,,16.619744415179007
EV192,01/17/2023 15:00:00,01/17/2023 17:12:00,31,0.44,1.54,1.98,100,67.2,32.8,70.2,58.125,3343,3374,0.22222222222222224,,8.791864691081912
EV192,01/19/2023 06:55:00,01/19/2023 09:04:00,29,0.53,1.45,1.98,100,60.8,39.199999999999996,83.9,50.7,3374,3403,0.2676767676767677,,12.421652421652421
EV192,01/19/2023 14:29:00,01/19/2023 15:59:00,33,0.04,1.35,1.3900000000000001,97.2,63.6,33.6,71.9,59.2666666666667,3403,3436,0.028776978417266185,,24.41795051353875
EV192,01/23/2023 07:08:00,01/23/2023 09:04:00,29,0.35,1.5299999999999998,1.88,100,63.2,36.8,78.7,49.3,3436,3465,0.18617021276595744,,17.130434782608695
EV192,01/23/2023 15:04:00,01/23/2023 16:34:00,20,0.26,1.24,1.49,100,83.2,16.8,36,61,3465,3485,0.17333333333333334,,13.34228187919463
EV192,01/24/2023 14:42:00,01/24/2023 16:32:00,23,0.36000000000000004,1.25,1.61,100,81.2,18.8,40.2,63.5,3485,3508,0.2236024844720497,,7.034591194968553
