Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV133,02/15/2020,,,,,,,,,,25.43,,,,
EV133,02/16/2020,,,,,,,,,,26.285,,,,
EV133,02/17/2020,,,,,,,,,,21.785,,,,
EV133,02/18/2020,,84.72,,,,,,,,17.87,,,,
EV133,02/19/2020,,93.73,,,,,,,160.71,16.925,,,,
EV133,02/20/2020,,87.01,,,,,,,,17.87,,,,
EV133,02/21/2020,,83.56,,,,,,,,21.155,,,,
EV133,02/22/2020,,,,,,,,,,26.509999999999998,,,,
EV133,02/23/2020,,,,,,,,,,28.175,,,,
EV133,02/24/2020,,87.14,,,,,,,,24.845,,,,
EV133,02/25/2020,,99.35,,,,,,,,24.619999999999997,,,,
EV133,02/26/2020,,90.88,,,,,,,,28.175,,,,
EV133,02/27/2020,,65.43,,,,,,,,29.21,,,,
EV133,02/28/2020,,107.95,,,,,,,,33.71,,,,
EV133,02/29/2020,,,,,,,,,,29.57,,,,
EV133,03/01/2020,,,,,,,,,,23.99,,,,
EV133,03/02/2020,,111.1,,,,,,,,26.195,,,,
EV133,03/03/2020,,77.68,,,,,,,,33.62,,,,
EV133,03/04/2020,,,,,,,,,,30.965,,,,
EV133,03/05/2020,,,,,22.55,,,,,32.405,,,,
EV133,03/06/2020,,,,,22.61,,,,,39.875,,,,
EV133,03/07/2020,,,,,,,,,,37.04,,,,
EV133,03/08/2020,,,,,23,,,,,29.345,,,,
EV133,03/09/2020,,,,,20.94,,,,,28.175,,,,
EV133,03/10/2020,,,,,21.79,,,,,28.759999999999998,,,,
EV133,03/11/2020,,,,,23.46,,,,,34.205,,,,
EV133,03/12/2020,,,,,22.43,,,,,24.215,,,,
EV133,03/13/2020,,,,,22.87,,,,,20.66,,,,
EV133,03/14/2020,,,,,,,,,,13.684999999999999,,,,
EV133,03/15/2020,,,,,,,,,,19.895,,,,
EV133,03/16/2020,,,,,22.25,,,,,25.384999999999998,,,,
