Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,4/24/18 5:11 PM,4/24/18 6:10 PM,13.617,0.197,0.778,0.975,99,64.5,34.5,33.168,83.84,,
EV026,4/24/18 4:05 PM,4/24/18 5:00 PM,11.391,0.200,0.714,0.914,99,62,37,27.205,87.8,,
EV026,4/24/18 2:31 PM,4/24/18 3:54 PM,17.271,0.347,1.042,1.389,87.5,60,27.5,37.633,89.96,,
EV026,4/24/18 1:31 PM,4/24/18 2:20 PM,10.907,0.175,0.636,0.811,85,90.5,-5.5,20.848,87.08,,
EV026,4/24/18 11:31 AM,4/24/18 1:20 PM,21.911,0.567,1.242,1.808,85.5,87.5,-2,45.537,87.08,,
EV026,4/24/18 10:02 AM,4/24/18 11:20 AM,15.444,0.419,0.883,1.303,99.5,86.5,13,32.81,77,,
EV026,4/24/18 8:15 AM,4/24/18 9:50 AM,21.047,0.406,1.175,1.581,72.5,61,11.5,45.775,66.2,,
EV026,4/24/18 5:39 AM,4/24/18 7:00 AM,19.417,0.219,1.128,1.347,87.5,56,31.5,42.223,53.24,,
EV026,4/18/18 5:14 PM,4/18/18 6:52 PM,14.585,0.742,0.892,1.633,99.5,94,5.5,31.031,63.68,,
EV026,4/18/18 12:01 PM,4/18/18 5:01 PM,48.444,1.686,3.311,4.997,72,54.5,17.5,115.081,62.6,,
EV026,4/18/18 10:17 AM,4/18/18 11:33 AM,14.786,0.331,0.950,1.281,100,87,13,31.564,60.08,,
EV026,4/18/18 8:09 AM,4/18/18 10:02 AM,21.836,0.464,1.425,1.889,100,59.5,40.5,45.08,55.04,,
EV026,4/18/18 5:34 AM,4/18/18 7:58 AM,34.252,0.614,1.786,2.400,87.5,62,25.5,66.998,48.56,,
EV026,4/13/18 5:11 PM,4/13/18 6:17 PM,14.148,0.278,0.811,1.089,99,92.5,6.5,31.337,74.12,,
EV026,4/13/18 8:09 AM,4/13/18 4:58 PM,100.556,2.786,6.036,8.822,100,72.5,27.5,213.407,63.32,,
EV026,4/13/18 6:17 AM,4/13/18 7:54 AM,21.194,0.325,1.278,1.603,63.5,55.5,8,40.38,47.12,,
EV026,4/9/18 5:11 PM,4/9/18 5:57 PM,10.495,0.164,0.603,0.767,99,63.5,35.5,23.894,79.16,,
EV026,4/9/18 4:08 PM,4/9/18 4:58 PM,11.507,0.153,0.667,0.819,100,72,28,25.965,83.48,,
EV026,4/9/18 3:06 PM,4/9/18 3:56 PM,11.596,0.142,0.700,0.842,99.5,57,42.5,27.137,87.08,,
EV026,4/9/18 1:05 PM,4/9/18 2:53 PM,19.94,0.639,1.161,1.800,66,44.5,21.5,44.439,83.12,,
EV026,4/9/18 5:40 AM,4/9/18 12:53 PM,79.456,2.564,4.661,7.225,,71.5,-71.5,163.436,54.32,,
EV026,3/29/18 5:11 PM,3/29/18 7:15 PM,21.984,0.797,1.275,2.072,99.5,92,7.5,48.212,78.08,,
EV026,3/29/18 1:03 PM,3/29/18 5:01 PM,43.765,1.136,2.822,3.958,100,63.5,36.5,103.625,82.76,,
EV026,3/29/18 9:10 AM,3/29/18 12:52 PM,43.634,0.942,2.764,3.706,98.5,71.5,27,89.514,71.6,,
EV026,3/29/18 6:17 AM,3/29/18 8:56 AM,32.616,0.639,2.008,2.647,100,73,27,64.145,56.48,,
EV026,3/29/18 5:27 AM,3/29/18 6:07 AM,12.463,0.047,0.622,0.669,87,55.5,31.5,22.24,51.8,,
EV026,3/26/18 5:11 PM,3/26/18 6:14 PM,14.433,0.231,0.817,1.047,100,94,6,31.434,68.72,,
EV026,3/26/18 3:04 PM,3/26/18 5:00 PM,23.233,0.619,1.311,1.931,100,72,28,52.487,72.68,,
EV026,3/26/18 8:07 AM,3/26/18 2:53 PM,80.205,2.081,4.683,6.764,100,47.5,52.5,171.183,57.92,,
EV026,3/26/18 5:38 AM,3/26/18 7:55 AM,30.761,0.542,1.753,2.294,93.5,58,35.5,64.613,42.44,,
EV026,3/23/18 5:12 PM,3/23/18 6:10 PM,14.076,0.225,0.739,0.964,100,94,6,28.925,61.52,,
EV026,3/23/18 12:06 PM,3/23/18 4:58 PM,58.118,1.294,3.581,4.875,100,72.5,27.5,133.587,65.48,,
EV026,3/23/18 11:10 AM,3/23/18 11:55 AM,11.38,0.064,0.700,0.764,100,76,24,23.185,65.12,,
EV026,3/23/18 9:06 AM,3/23/18 10:22 AM,17.11,0.289,0.975,1.264,100,89.5,10.5,32.969,55.4,,
EV026,3/23/18 5:36 AM,3/23/18 8:51 AM,42.134,0.781,2.464,3.244,90,65,25,83.832,42.8,,
EV026,3/21/18 5:11 PM,3/21/18 6:09 PM,13.941,0.164,0.789,0.953,99.5,91,8.5,30.122,67.28,,
EV026,3/21/18 4:03 PM,3/21/18 4:59 PM,11.662,0.192,0.728,0.919,99.5,65,34.5,26.268,69.08,,
EV026,3/21/18 12:31 PM,3/21/18 3:53 PM,40.326,0.950,2.422,3.372,87.5,66,21.5,83.565,68.72,,
EV026,3/21/18 8:05 AM,3/21/18 12:20 PM,51.593,1.167,3.078,4.244,100,88,12,103.999,59.36,,
EV026,3/21/18 7:08 AM,3/21/18 7:55 AM,11.466,0.075,0.700,0.775,100,72,28,23.336,53.6,,
