Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV072,02/02/2020 07:15,02/02/2020 11:30,62.27,,,4.1,92,65,27,123.02,36,,,,,2.84,9.85,1.61,108.72
EV072,02/02/2020 13:08,02/02/2020 17:47,65.16,,,4.616666666666666,64,30,34,156.58,54,,,,,3.03,9.93,0.28,143.33
EV072,02/03/2020 15:10,02/03/2020 19:47,79.52,,,4.183333333333334,92,60,32,150.98,28,,,,,2.68,11.95,3.12,133.23
EV072,02/04/2020 06:56,02/04/2020 07:27,5.14,,,0.5333333333333333,91,88,3,14.91,18,,,,,0.63,1.46,0,12.82
EV072,02/04/2020 07:51,02/04/2020 09:27,14.53,,,1.2833333333333334,88,82,6,27.96,13,,,,,1.4,4.37,0.32,21.87
EV072,02/04/2020 09:51,02/04/2020 10:27,6.81,,,0.6166666666666667,81,78,3,13.05,15,,,,,0.73,2.27,0,10.05
EV072,02/04/2020 10:51,02/04/2020 11:22,5.59,,,0.5333333333333333,78,75,3,13.05,16,,,,,0.62,1.76,0,10.67
EV072,02/04/2020 11:50,02/04/2020 12:24,8.43,,,0.5833333333333334,75,72,3,14.91,19,,,,,0.52,1.85,0.3,12.24
EV072,02/04/2020 12:54,02/04/2020 13:22,6.58,,,0.48333333333333334,72,69,3,13.05,18,,,,,0.45,1.41,0,11.19
EV072,02/04/2020 13:51,02/04/2020 14:25,6.7,,,0.5666666666666667,68,65,3,14.91,19,,,,,0.57,1.82,0,12.53
EV072,02/04/2020 14:52,02/04/2020 15:16,5.34,,,0.4166666666666667,65,64,1,7.46,19,,,,,0.43,1.39,0,5.64
EV072,02/05/2020 06:46,02/05/2020 16:20,84.92,,,9.35,92,44,48,219.95,18,,,,,11.83,27.53,0.98,179.62
EV072,02/06/2020 07:40,02/06/2020 08:27,5.49,,,0.8,89,86,3,16.78,27,,,,,0.77,2.16,1.3,12.55
EV072,02/06/2020 08:51,02/06/2020 09:25,8.54,,,0.5833333333333334,86,83,3,13.05,19,,,,,0.54,1.93,0,10.58
EV072,02/06/2020 09:51,02/06/2020 10:26,8.7,,,0.6,82,80,2,13.05,20,,,,,0.72,2.01,0,10.31
EV072,02/06/2020 10:52,02/06/2020 11:22,8.39,,,0.5166666666666667,79,76,3,13.05,21,,,,,0.36,1.85,0,10.84
EV072,02/06/2020 11:51,02/06/2020 12:23,8.78,,,0.55,76,74,2,13.05,23,,,,,0.33,1.72,0,11
EV072,02/06/2020 12:50,02/06/2020 13:24,8.850000000000001,,,0.5333333333333333,73,70,3,13.05,23,,,,,0.65,1.87,0,10.53
EV072,02/06/2020 13:50,02/06/2020 14:26,8.850000000000001,,,0.6166666666666667,70,67,3,14.91,24,,,,,1.05,2.2,0,11.67
EV072,02/06/2020 14:54,02/06/2020 15:38,5.51,,,0.6666666666666666,66,65,1,7.46,27,,,,,0.54,1.88,0,5.04
EV072,02/07/2020 06:53,02/07/2020 08:28,15.77,,,1.5833333333333333,91,84,7,35.42,29,,,,,1.07,4.33,3.54,26.48
EV072,02/07/2020 08:53,02/07/2020 10:28,18.25,,,1.3666666666666667,83,76,7,33.55,29,,,,,1.44,4.49,0.62,26.99
EV072,02/07/2020 10:51,02/07/2020 11:23,9.01,,,0.55,76,72,4,14.91,30,,,,,0.39,1.87,0,12.65
EV072,02/07/2020 11:55,02/07/2020 14:23,26.8,,,1.85,72,60,12,57.78,33,,,,,2.01,5.95,5.81,44.02
EV072,02/07/2020 14:52,02/07/2020 15:29,12.43,,,0.6166666666666667,60,53,7,29.82,33,,,,,0.48,1.98,9.37,18
EV072,02/08/2020 16:52,02/08/2020 20:10,57.71,,,3.2,91,62,29,137.94,35,,,,,3.9,8.16,28.2,97.67
EV072,02/09/2020 07:15,02/09/2020 11:29,79.85,,,4.233333333333333,87,48,39,182.67,30,,,,,2.73,10.52,51.37,118.05
EV072,02/09/2020 12:59,02/09/2020 15:19,37.9,,,2.316666666666667,48,27,21,96.93,33,,,,,1.47,6.12,26.74,62.6
EV072,02/11/2020 09:49,02/11/2020 11:19,16.54,,,1.5,90,84,6,27.96,34,,,,,0.97,4.33,1.29,21.37
EV072,02/11/2020 12:30,02/11/2020 17:01,50.949999999999996,,,4.5,84,66,18,78.29,33,,,,,4.65,11,1.53,61.11
EV072,02/12/2020 06:06,02/12/2020 16:29,129.79,,,10,86,30,56,259.1,30,,,,,13.64,28.82,1.07,215.57
EV072,02/13/2020 06:56,02/13/2020 07:24,6.6,,,0.48333333333333334,92,90,2,11.18,29,,,,,0.55,1.25,0,9.38
EV072,02/13/2020 07:50,02/13/2020 10:26,26.8,,,2.033333333333333,89,80,9,41.01,26,,,,,1.84,6.74,0.65,31.78
EV072,02/13/2020 10:50,02/13/2020 11:25,8.850000000000001,,,0.6,80,77,3,13.05,30,,,,,0.6,1.91,0.31,10.23
EV072,02/13/2020 11:50,02/13/2020 12:27,8.54,,,0.6166666666666667,77,74,3,13.05,31,,,,,0.63,1.67,0,10.75
EV072,02/13/2020 12:50,02/13/2020 13:27,8.78,,,0.5833333333333334,74,70,4,14.91,34,,,,,0.69,1.54,0.3,12.39
EV072,02/13/2020 13:51,02/13/2020 14:24,8.93,,,0.5666666666666667,70,67,3,14.91,36,,,,,0.57,1.83,0,12.5
EV072,02/13/2020 14:49,02/13/2020 15:17,6.21,,,0.4666666666666667,67,65,2,9.32,36,,,,,0.56,1.43,0.57,6.76
EV072,02/14/2020 06:02,02/14/2020 17:15,145.87,,,10.833333333333334,90,34,56,262.82,37,,,,,12.42,27.85,4.98,217.57
EV072,02/15/2020 16:45,02/15/2020 20:11,57.55,,,3.433333333333333,89,70,19,91.34,36,,,,,3.21,8.61,1.53,77.99
EV072,02/16/2020 15:24,02/16/2020 15:56,6.45,,,0.55,88,84,4,14.91,42,,,,,0.73,1.43,0.32,12.43
EV072,02/16/2020 16:21,02/16/2020 16:53,8.93,,,0.55,84,81,3,14.91,38,,,,,0.67,1.33,0.32,12.6
EV072,02/16/2020 17:20,02/16/2020 17:54,8.93,,,0.5833333333333334,81,78,3,16.78,37,,,,,1.17,1.51,0.31,13.79
EV072,02/16/2020 18:21,02/16/2020 18:47,7.92,,,0.45,78,75,3,13.05,36,,,,,0.57,1.19,0.3,10.98
EV072,02/16/2020 19:19,02/16/2020 19:51,8.78,,,0.5333333333333333,74,72,2,13.05,37,,,,,0.6,1.44,0.31,10.7
EV072,02/16/2020 20:19,02/16/2020 20:51,8.93,,,0.55,72,68,4,14.91,36,,,,,0.62,1.5,0.29,12.5
EV072,02/16/2020 21:20,02/16/2020 21:47,7.92,,,0.4666666666666667,68,66,2,13.05,36,,,,,0.54,1.36,0.29,10.86
EV072,02/16/2020 22:20,02/16/2020 22:49,8.62,,,0.5,65,62,3,13.05,36,,,,,0.57,1.37,0.28,10.82
EV072,02/16/2020 23:19,02/16/2020 23:50,8.93,,,0.5333333333333333,62,59,3,14.91,36,,,,,0.49,1.61,0.28,12.54
EV072,02/17/2020 00:19,02/17/2020 00:37,6.14,,,0.31666666666666665,59,57,2,9.32,35,,,,,0.31,0.94,0.27,7.79
EV072,02/17/2020 15:12,02/17/2020 15:40,7.609999999999999,,,0.48333333333333334,91,88,3,14.91,42,,,,,0.36,1.14,0,13.42
EV072,02/17/2020 16:15,02/17/2020 18:36,82.17999999999999,,,2.316666666666667,87,61,26,123.02,37,,,,,1.93,6,0,115.1
EV072,02/18/2020 14:53,02/18/2020 18:01,94.53,,,3.1333333333333333,90,57,33,152.85,36,,,,,2.29,8.24,0.64,141.68
EV072,02/19/2020 05:56,02/19/2020 17:23,145.94,,,10.916666666666666,90,34,56,257.23,35,,,,,13.44,31.23,4.38,208.18
EV072,02/20/2020 06:24,02/20/2020 06:55,6.6,,,1.0666666666666667,92,89,3,13.05,21,,,,,1.07,1.46,0.33,10.19
EV072,02/20/2020 07:22,02/20/2020 11:55,44.51,,,8.433333333333334,88,73,15,72.7,25,,,,,5.92,11.29,4.36,51.13
EV072,02/20/2020 12:22,02/20/2020 12:59,8.7,,,1.2666666666666666,73,70,3,13.05,34,,,,,1.35,1.42,0,10.28
EV072,02/20/2020 13:22,02/20/2020 13:55,8.7,,,1.1333333333333333,70,68,2,11.18,38,,,,,0.82,1.52,0,8.84
EV072,02/20/2020 14:20,02/20/2020 14:58,8.850000000000001,,,1.3,67,64,3,13.05,39,,,,,1.01,1.73,0.86,9.45
EV072,02/20/2020 15:21,02/20/2020 15:42,6.14,,,0.6666666666666666,64,63,1,7.46,39,,,,,0.75,0.9,0.28,5.53
EV072,02/21/2020 06:06,02/21/2020 16:28,80.86,,,10.216666666666667,91,54,37,169.62,39,,,,,16.11,23.62,0.33,129.57
EV072,02/22/2020 06:12,02/22/2020 16:30,80.78,,,10.216666666666667,88,53,35,164.03,46,,,,,14.24,23.13,0.65,126.01
EV072,02/23/2020 06:28,02/23/2020 15:39,84.74000000000001,,,5.75,90,56,34,158.44,35,,,,,6.91,17.32,3.01,131.2
EV072,02/24/2020 06:22,02/24/2020 15:46,84.74000000000001,,,6.883333333333334,91,58,33,150.98,28,,,,,6.4,19.63,8.3,116.65
EV072,02/25/2020 05:57,02/25/2020 16:53,141.83,,,10.4,91,40,51,240.46,25,,,,,9.28,28.28,2.82,200.08
EV072,02/26/2020 15:37,02/26/2020 20:30,62.68,,,4.783333333333333,89,66,23,108.11,31,,,,,6.88,11.58,0.32,89.33
EV072,02/27/2020 06:07,02/27/2020 16:30,79.92,,,10.016666666666667,91,51,40,186.4,41,,,,,15.65,25.11,0.33,145.32
EV072,02/28/2020 06:55,02/28/2020 15:08,74.64,,,4.716666666666667,92,65,27,123.02,41,,,,,5.58,12.6,0.64,104.2
EV072,03/01/2020 15:35,03/01/2020 23:59,104.47,,,8.083333333333334,90,53,37,169.62,35,,,,,8.42,19.95,0.65,140.62
EV072,03/02/2020 00:00,03/02/2020 02:21,58.49,,,4.3,53,42,11,89.47,30,,,,,4.33,6.05,0,79.09
EV072,03/02/2020 15:25,03/02/2020 23:59,78.45,,,8.5,88,57,31,147.26,33,,,,,6.23,20.26,23.21,97.56
EV072,03/03/2020 00:19,03/03/2020 00:40,6.14,,,0.36666666666666664,56,55,1,5.59,26,,,,,0.29,1.02,0.27,4.01
EV072,03/03/2020 00:00,03/03/2020 23:59,84.9,,,8.416666666666666,91,55,36,145.39,35,,,,,7.52,20.5,17.99,99.38
EV072,03/04/2020 00:20,03/04/2020 00:36,6.06,,,0.2833333333333333,60,59,1,5.59,30,,,,,0.5,0.71,0.28,4.11
EV072,03/04/2020 00:00,03/04/2020 23:59,74.02,,,8.616666666666667,90,59,31,136.07,36,,,,,9.15,20.05,5.86,101.01
EV072,03/05/2020 00:04,03/05/2020 02:17,20.51,,,2.1333333333333333,62,54,8,37.28,30,,,,,2.46,5.77,0,29.04
EV072,03/05/2020 00:00,03/05/2020 23:59,73.63,,,9.833333333333334,90,56,34,145.39,37,,,,,12.8,24.4,0,108.2
EV072,03/06/2020 00:22,03/06/2020 02:20,16.7,,,1.8833333333333333,64,56,8,35.42,31,,,,,1.99,5.14,4.58,23.71
EV072,03/06/2020 00:00,03/06/2020 23:59,118.53,,,9.783333333333333,86,47,39,208.77,41,,,,,11.41,24.96,2.72,169.68
EV072,03/07/2020 00:01,03/07/2020 02:22,33.09,,,2.3,47,34,13,61.51,35,,,,,2.04,6.07,7.15,46.26
EV072,03/07/2020 00:00,03/07/2020 01:58,24.93,,,1.9166666666666667,47,37,10,46.6,35,,,,,1.57,4.99,4.62,35.43
EV072,03/10/2020 10:43,03/10/2020 10:56,4.659999999999999,,,0.23333333333333334,89,88,1,7.46,48,,,,,0.25,0.51,0,6.69
EV072,03/10/2020 15:49,03/10/2020 23:59,68.2,,,8.133333333333333,90,65,25,115.57,41,,,,,8.94,18.14,0,88.49
EV072,03/11/2020 00:01,03/11/2020 02:18,26.72,,,2.283333333333333,65,56,9,37.28,34,,,,,1.65,4.98,0.27,30.39
EV072,03/11/2020 00:00,03/11/2020 15:25,27.419999999999998,,,2.533333333333333,89,58,31,41.01,37,,,,,2.09,5.45,0.32,33.15
EV072,03/11/2020 15:56,03/11/2020 21:24,52.74,,,4.366666666666666,86,68,18,83.88,43,,,,,4.42,10.22,2.42,66.82
EV072,03/11/2020 21:52,03/11/2020 23:59,19.959999999999997,,,1.1333333333333333,67,61,6,29.82,37,,,,,1.14,2.82,0.28,25.58
EV072,03/12/2020 00:01,03/12/2020 00:07,2.02,,,0.11666666666666667,61,60,1,1.86,35,,,,,0.18,0.28,0,1.41
EV072,03/12/2020 07:56,03/12/2020 15:11,66.49000000000001,,,4.383333333333334,90,67,23,102.52,47,,,,,4.97,11.21,0.31,86.02
EV072,03/13/2020 15:37,03/13/2020 23:59,104.7,,,7.883333333333334,91,51,40,184.54,38,,,,,9.34,20.76,0,154.44
EV072,03/14/2020 00:00,03/14/2020 02:21,57.71,,,4.2,51,40,11,93.2,36,,,,,3.41,5.93,0.28,83.58
EV072,03/14/2020 15:29,03/14/2020 18:56,36.97,,,2.1333333333333333,89,77,12,55.92,47,,,,,2.21,5.68,0,48.04
EV072,03/17/2020 15:47,03/17/2020 23:54,104.23,,,6.516666666666667,91,56,35,160.3,45,,,,,7.41,16.88,0.54,135.47
EV072,03/18/2020 00:00,03/18/2020 02:11,55.07,,,3.8333333333333335,56,46,10,83.88,35,,,,,2.47,5.25,0.56,75.6
EV072,03/19/2020 06:56,03/19/2020 15:09,71.69,,,4.433333333333334,89,63,26,121.16,34,,,,,4.31,12.2,0.89,103.75
EV072,03/20/2020 15:32,03/20/2020 23:59,104.47,,,7.966666666666667,92,55,37,169.62,35,,,,,7.6,20.37,0.92,140.73
EV072,03/21/2020 00:00,03/21/2020 02:14,54.99,,,4.016666666666667,55,45,10,87.61,29,,,,,3.5,5.69,0.14,78.28
EV072,03/21/2020 15:46,03/21/2020 21:52,79.14999999999999,,,5.833333333333333,89,62,27,126.75,39,,,,,6.11,13.52,1.48,105.65
EV072,03/21/2020 22:42,03/21/2020 23:59,16.54,,,1.2,62,56,6,26.1,37,,,,,0.69,3.18,0.28,21.95
EV072,03/22/2020 00:00,03/22/2020 01:58,24.779999999999998,,,1.95,56,48,8,41.01,33,,,,,1.36,4.54,0.26,34.84
EV072,03/22/2020 00:02,03/22/2020 02:10,28.74,,,2.1166666666666667,56,47,9,44.74,33,,,,,1.39,4.92,0.26,38.16
EV072,03/23/2020 05:52,03/23/2020 15:50,127.14999999999999,,,9.633333333333333,88,46,42,195.72,42,,,,,8.15,21.76,0.64,165.17
EV072,03/24/2020 06:24,03/24/2020 11:46,47.53,,,3.9,89,74,15,70.83,41,,,,,2.54,8.79,3.17,56.32
EV072,03/24/2020 12:19,03/24/2020 15:31,30.21,,,1.7166666666666666,74,65,9,41.01,52,,,,,1.45,3.47,0,36.09
EV072,03/25/2020 06:31,03/25/2020 06:50,6.45,,,0.3333333333333333,90,88,2,11.18,47,,,,,0.47,0.69,0,10.02
EV072,03/25/2020 07:20,03/25/2020 15:38,74.88,,,4.333333333333333,88,65,23,106.25,49,,,,,4.27,8.92,0.95,92.11
EV072,03/26/2020 15:22,03/26/2020 23:11,96.86,,,7.4,92,64,28,130.48,46,,,,,5.39,15.39,0,109.7
EV072,03/27/2020 06:02,03/27/2020 16:23,82.95,,,9.833333333333334,89,55,34,154.71,38,,,,,11.87,23.58,0.6,118.65
EV072,03/28/2020 15:48,03/28/2020 23:11,55.53,,,7.183333333333334,92,69,23,104.38,34,,,,,5.6,16.06,1.88,80.84
EV072,03/29/2020 15:24,03/29/2020 23:10,96.93,,,7.716666666666667,89,58,31,143.53,41,,,,,5.79,17.67,1.14,118.93
EV072,03/30/2020 07:39,03/30/2020 20:16,95.14999999999999,,,12,91,53,38,175.22,45,,,,,12.29,24.95,0.31,137.67
EV072,03/31/2020 07:54,03/31/2020 08:22,6.52,,,0.4666666666666667,90,88,2,13.05,41,,,,,0.52,1.25,0.33,10.95
