Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV217,12/19/2022,2.9499999999999886,2.499999999999999,0.5849999999999992,3.084999999999996,77,48,8,6.29433333333333,55.04,318,320.95,67.04297722832524,,0.9562398703403542
EV217,12/20/2022,0.07999999999998408,0.2833333333333329,0.08249999999999989,0.3658333333333323,,,,0.801583333333332,58.64,320.95,321.03,75.06806620401153,,0.21867881548970655
EV217,12/21/2022,0.07000000000005002,0.2499999999999997,0.10666666666666659,0.3566666666666663,48,92,3,1.61344444444443,62.96,321.03,321.1,65.75335278856704,,0.19626168224313112
EV217,12/23/2022,0.6300000000010186,0.5166666666666666,0.1386111111111109,0.6552777777777775,92,89,3,,60.62,321.179999999999,321.81,76.28477978404045,,0.9614243323457685
EV217,12/27/2022,0.01999999999998181,0.466666666666666,0.0569444444444444,0.523611111111111,89,86,3,0.814305555555555,57.02,321.86,321.88,89.1246684350132,,0.03819628647211381
EV217,12/30/2022,1.3199999999999932,2.683333333333333,0.2613888888888888,2.944722222222214,86,78,8,29.0684460784313,50.9,321.88,323.2,28.25806699263474,,0.44825959815111677
EV217,01/03/2023,1.9399999999999977,4.116666666666666,0.3027777777777775,4.419444444444442,78,72,6,27.7142857142857,49.64,323.2,325.14,72.58867400540575,,0.4389692017598992
EV217,01/04/2023,0.08000000000004093,0.0999999999999999,0.09138888888888873,0.1913888888888888,72,72,1,0.637940170940171,53.96,325.14,325.22,46.810922950740526,,0.4179970972425943
EV217,01/05/2023,1.1600000000009913,1.149999999999993,0.22972222222222216,1.3797222222222143,72,80,1,5.41831674208144,50.36,325.219999999999,326.38,57.74123971861812,,0.8407489430246815
EV217,01/09/2023,1.7099999999999795,2.36666666666666,0.248055555555555,2.61472222222222,80,76,4,15.5454545454545,53.06,326.38,328.09,90.5131201529799,,0.653989163922228
EV217,01/10/2023,1.400000000000034,1.533333333333332,0.23638888888888882,1.7697222222222218,76,74,2,,50.54,328.09,329.49,53.485655417871975,,0.7910846021033
EV217,01/12/2023,12.199999999999989,0.39999999999999925,0.5988888888888888,0.998888888888888,70,63,7,,61.16,329.49,341.69,65.19596963913176,,12.213570634037819
EV217,01/24/2023,1.089999999999975,3.083333333333326,0.2788888888888879,3.3622222222222193,57,55,2,14.8163311965812,56.12,341.69,342.78,59.8719532911878,,0.32419035029741516
EV217,02/01/2023,0.4700000000000273,3.366666666666659,0.1616666666666662,3.528333333333328,54,50,7,2.49438888888888,55.58,342.77,343.24,70.47056921537188,,0.13320736891828852
EV217,02/02/2023,1.0900000000009982,3.9333333333333274,0.25555555555555526,4.188888888888883,51,47,7,11.1271111111111,58.46,343.239999999999,344.33,79.34824892326102,,0.2602122015917506
EV217,02/08/2023,0.07999999999998408,4.98333333333333,0.0125000000000001,4.99583333333333,46,42,4,0.220000000000003,61.52,344.32,344.4,99.7497914929107,,0.01601334445370825
EV217,02/10/2023,0.3100000000000023,3.08333333333333,0.0833333333333329,3.166666666666658,43,38,6,11.8333333333333,63.5,344.41,344.72,96.350814974531,,0.09789473684210624
EV217,02/21/2023,0.22999999999996135,0.1333333333333332,0.12222222222222211,0.2555555555555547,34,32,2,2.36660606060605,52.34,344.72,344.95,49.56897304568123,,0.8999999999998517
EV217,02/22/2023,0.38999999999998636,0,0.11027777777777761,0.11027777777777761,33,32,2,1.77380952380952,42.8,344.95,345.34,0,,3.5365239294709143
EV217,02/23/2023,0.7000000000000455,7.583333333333326,0.35999999999999904,7.94333333333331,33,25,10,9.12352777777778,40.46,345.34,346.04,74.55603010319437,,0.08812421317667404
