Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed,Maximum Speed
EV155,09/01/2022 23:14:00,09/02/2022 02:34:00,0.5561272170525626,0.24597638888872095,0.09240888888894006,0.33838527777766103,49.460938,97.751563,0.837500000000006,2.78455799999938,81.1352816414889,5306.522475617395,5307.078602834447,97.751563,49.460938,0.726912206417981,,1.22017300000152,1.39989399999968,0.331066571224052,0.662133142448103
EV155,09/02/2022 07:26:00,09/02/2022 12:20:00,35.17582319255416,1.8845572222221565,2.7245224999999778,4.609079722222134,100,88.526563,18.270313,81.9960979999996,84.9331259613347,5307.078602834447,5342.2544260270015,100,85.315625,0.4088792851935248,,69.3185919999996,12.6819460000002,8.28021971604529,53.5455421587926
EV155,09/02/2022 15:23:00,09/02/2022 17:37:00,0.21747991728443591,1.46000555555554,0.04571944444438713,1.5057249999999271,88.332813,96.817188,1.742187,,88.617089565817,5342.2544260270015,5342.471905944286,97.05625,87.057813,0.9696362586498932,,,,3.2278990694345,3.2278990694345
EV155,09/03/2022 10:01:00,09/03/2022 23:32:00,95.22824330907406,5.551635833333307,7.291033611111061,12.842669444444368,97.910938,59.346875,52.229687,230.210847,84.7840360066104,5342.471905944286,5437.70014925336,97.945313,59.015625,0.4322805205996249,,198.691078,31.3032830000002,9.51866651858369,41.256934813191
EV155,09/04/2022 14:43:00,09/04/2022 17:44:00,0.4629215382174152,1.3056827777778608,0.06572916666664241,1.3714119444445032,59.38125,96.498438,1.259375,5.66812100000061,78.8654002156358,5437.70014925336,5438.163070791577,96.771875,58.510938,0.9520719015661876,,0.87485100000049,4.76311799999985,,
EV155,09/06/2022 06:28:00,09/07/2022 00:23:00,131.03786573908292,7.649951388888894,9.495838055555566,17.14578944444446,98.9125,53.867188,76.117184,313.369062,80.0690236658705,5438.163070791577,5569.20093653066,98.9125,53.539063,0.4461708464154512,,272.437819000001,40.6725859999997,9.23000518652008,85.059503748111
EV155,09/07/2022 02:36:00,09/07/2022 12:17:00,0.4007844189936805,0.7450630555555335,0.06614638888896707,0.8112094444445006,53.242188,100,0.546876000000012,3.10990499999934,75.1662100620663,5569.20093653066,5569.601720949654,100,53.21875,0.9184595429183364,,0.77445600000101,2.1718450000003,,
EV155,09/07/2022 13:13:00,09/08/2022 03:30:00,90.08018298138904,5.197874999999954,6.34388861111114,11.541763611111094,100,97.592188,43.164061,201.783506,78.6929903622392,5569.651430645033,5659.731613626422,100,72.3,0.4503536179684041,,176.993308999999,24.78766,9.14105188200907,40.5131519426549
EV155,09/08/2022 08:05:00,09/08/2022 08:26:00,0.02796170365036232,0.32202250000000276,0.00458694444444063,0.3266094444444434,100,100,0,1.44363800000065,74.5839475968418,5659.731613626422,5659.759575330072,100,100,0.985955873222702,,0.0254260000001523,1.34814300000016,,
EV155,09/08/2022 15:41:00,09/08/2022 15:51:00,0.00932056788406043,0.148686944444421,0,0.148686944444421,99.698438,99.664063,0.0671870000000041,1.20105100000001,83.8745651643478,5659.759575330072,5659.768895897956,99.720313,99.664063,1,,0,1.16462200000024,,
