Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV203,07/20/2021,,101.5,,,15.2,100,38,62,211.78,90.74,,,100,37.6,,,13.06,41.1
EV203,07/21/2021,,21.2,,,2.75,100,89,11,52.47,93.5,,,100,89,,,10.87,32.4
EV203,07/22/2021,,98.4,,,15.0333333333333,100,43,57,181,92.79,,,100,42.42,,,12.08,45.1
EV203,07/23/2021,,98.2,,,24.1666666666667,43.55,46,,189.78,84.54,,,100,42.42,,,12.95,45.1
EV203,07/24/2021,,98.1,,,24.1833333333333,46.69,50,,178.69,81.67,,,100,45.81,,,14.02,43.1
EV203,07/25/2021,,105.5,,,15.1833333333333,100,42,58,202.56,84.6,,,100,41.12,,,13.87,46.8
EV203,07/26/2021,,87,,,12.65,100,47,53,190.76,90.74,,,100,46.34,,,13.83,44.5
EV203,07/27/2021,,82.4,,,12.8166666666667,89.83,35,54.83,165,92.89,,,89.83,34.55,,,13.15,38
EV203,07/28/2021,,101.9,,,15.0666666666667,100,38,62,205.3,93.33,,,100,37.08,,,11.94,37.2
EV203,07/29/2021,,91.5,,,21.5333333333333,37.77,50,,180.1,85,,,100,37.08,,,12.96,41.2
EV203,07/30/2021,,95.6,,,14.7833333333333,100,49,51,179.41,86.37,,,100,49,,,12.66,41.5
EV203,07/31/2021,,98.3,,,24.1666666666667,48.85,61,,144.08,70.75,,,100,47.84,,,13.57,41.8
EV203,08/01/2021,,105.3,,,24,61.89,52,,171.85,76.52,,,100,52,,,13.53,41.7
EV203,08/02/2021,,105.4,,,24,51.85,50,,178.09,79.51,,,100,50,,,12.66,40.6
EV203,08/03/2021,,105,,,14.9666666666667,100,53,47,166.47,77.23,,,100,52.36,,,13.02,39
EV203,08/04/2021,,86.9,,,12.5,100,56,44,159.92,82.76,,,100,55.77,,,13.6,44.6
EV203,08/05/2021,,101.8,,,15.0333333333333,100,42,58,200.47,88.81,,,100,41.25,,,13.22,37.8
EV203,08/06/2021,,106.1,,,24,42.22,46,,186.66,83.25,,,100,41.25,,,12.65,46.2
EV203,08/07/2021,,105.5,,,24.1833333333333,45.83,52,,169.39,77.61,,,100,45.09,,,13.14,40.3
EV203,08/08/2021,,105.3,,,24,52.54,41,,205.13,83.33,,,100,41,,,13.35,40.5
EV203,08/09/2021,,105.3,,,24.1333333333333,41.17,45,,194.71,85.84,,,100,40.27,,,12.91,42.4
EV203,08/10/2021,,91.6,,,21.5166666666667,44.71,53,,170.87,82.53,,,100,43.97,,,12.82,48.2
EV203,08/11/2021,,97.7,,,15.1833333333333,100,44,56,180,88.82,,,100,43.87,,,12.69,40.1
EV203,08/12/2021,,22.1,,,16.3666666666667,45.11,91,,50.28,78.68,,,100,43.87,,,12.44,40.1
EV203,08/13/2021,,81.1,,,12.7833333333333,100,55,45,140,84.24,,,100,55,,,13.82,45.1
EV203,08/14/2021,,96.3,,,15.0666666666667,100,46,54,187.09,86.72,,,100,46,,,12.77,44.7
EV203,08/15/2021,,105.5,,,24.1666666666667,46.3,46,,188.16,81.46,,,100,45.91,,,13.69,42.7
EV203,08/16/2021,,105.1,,,24.2166666666667,46.54,40,,208.26,83,,,100,39.2,,,12.65,40.6
EV203,08/17/2021,,104.8,,,15.1666666666667,100,41,59,206.36,88.63,,,100,40.11,,,12.1,41.8
EV203,08/18/2021,,105.1,,,15.1333333333333,100,43,57,198.04,89.37,,,100,42.75,,,12.07,36.3
EV203,08/19/2021,,105,,,14.9333333333333,100,50,50,173.02,73.56,,,100,49.98,,,13.22,43.1
EV203,08/20/2021,,102.5,,,14.3833333333333,100,53,47,178.25,78.51,,,100,52.68,,,12.44,46.5
EV203,08/21/2021,,0.1,,,,,,,0.9,,,,,,,,,
EV203,08/23/2021,,0,,,,,,,4.46,,,,,,,,,
EV203,08/24/2021,,0.2,,,,,,,5.85,,,,,,,,,
EV203,08/25/2021,,0,,,,,,,1.27,,,,,,,,,
EV203,08/27/2021,,0,,,,,,,0.45,,,,,,,,,
EV203,08/30/2021,,0.2,,,,,97,,4.75,,,,97,97,,,,
EV203,08/31/2021,,0,,,,,97,,2.54,,,,97,97,,,,
EV203,09/02/2021,,0,,,,,,,3.62,,,,,,,,,
EV203,09/09/2021,,0.1,,,,,,,0.85,,,,,,,,,
EV203,09/11/2021,,0.3,,,,,,,3.44,,,,,,,,,
EV203,09/24/2021,,0,,,,,,,0.22,,,,,,,,,
EV203,09/28/2021,,0,,,,,,,3,,,,,,,,,
EV203,09/30/2021,,0.1,,,,,,,5.22,,,,,,,,,
EV203,10/05/2021,,0,,,,,,,0.41,,,,,,,,,
EV203,10/08/2021,,0,,,,,91,,0.3,,,,91,91,,,,
EV203,11/02/2021,,0,,,,,,,6.52,,,,,,,,,
EV203,11/08/2021,,0,,,,,84,,6.69,,,,84,84,,,,
EV203,11/10/2021,,0,,,,,,,4.96,,,,,,,,,
EV203,11/11/2021,,0.4,,,,,,,19.05,,,,,,,,,
EV203,11/12/2021,,97.2,,,15.25,91.8,19,72.8,248.74,51.72,,,91.8,19,,,12.93,45
EV203,11/13/2021,,120.2,,,15.0166666666667,99.3,41,58.3,207.32,63.27,,,99.3,40.62,,,13.37,39.1
EV203,11/14/2021,,109.3,,,15.5833333333333,94.8,34,60.8,204,62.3,,,94.8,33.94,,,12.75,39.9
EV203,11/15/2021,,109.3,,,15.1333333333333,99.65,57,42.65,155.89,69.35,,,99.65,56.33,,,12.21,44.5
EV203,11/16/2021,,110.6,,,15.25,94.74,46,48.74,170.59,68.03,,,94.74,45.86,,,12.56,39
EV203,11/17/2021,,87,,,11.4833333333333,89.36,24,65.36,236.72,43.89,,,89.36,24,,,12.32,41.5
EV203,11/18/2021,,0,,,,,,,0.19,,,,,,,,,
EV203,11/19/2021,,83.6,,,12.4,91.88,51,40.88,144,60.6,,,100,51,,,12.4,38.4
EV203,11/24/2021,,0.1,,,,,,,6.74,,,,,,,,,
EV203,11/26/2021,,0.1,,,,,,,1.26,,,,,,,,,
EV203,11/27/2021,,0.4,,,,,,,5.16,,,,,,,,,
EV203,11/28/2021,,0,,,,,,,3.93,,,,,,,,,
EV203,11/29/2021,,82,,,12.2666666666667,,59,,139.74,69.92,,,96.42,58.41,,,12.61,45
EV203,11/30/2021,,84,,,12.6333333333333,96.55,57,39.55,151.46,58.04,,,96.55,56.92,,,12.72,39.1
EV203,12/01/2021,,82.8,,,12.2333333333333,96.19,58,38.19,151.87,66.11,,,100,57.23,,,13.16,36.4
EV203,12/02/2021,,62.5,,,9.41666666666667,94.29,64,30.29,126.29,66.96,,,94.31,63.91,,,12.07,44.1
EV203,12/03/2021,,56.8,,,9.05,94.59,62,32.59,124,57.67,,,94.59,61.43,,,13.03,41.7
EV203,12/04/2021,,0.4,,,,,,,8.34,,,,,,,,,
EV203,12/12/2021,,0,,,,,,,0.18,,,,,,,,,
EV203,12/13/2021,,0.2,,,,,,,9.07,,,,,,,,,
EV203,12/15/2021,,0,,,,,,,5.43,,,,,,,,,
