Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Maximum Speed,Average Speed,Percent Idling Time,Drive Cycle
EV173,01/24/2022,9,187,1.7833333333333334,4.366666666666666,6.15,,,,,22.728,,,,,50.53819030196983,16.470866025800344,0.2899728997289973,
EV173,01/25/2022,10,190,1.85,4.516666666666667,6.366666666666667,,,,,18.5702,,,,,45.29795991410165,15.836199444427285,0.2905759162303665,
EV173,01/26/2022,9,182,1.5666666666666667,4.166666666666667,5.733333333333333,,,,,15.27,,,,,50.67627278913368,17.163870991214953,0.27325581395348836,
EV173,01/27/2022,11,181,1.6833333333333333,4.233333333333333,5.916666666666667,,,,,24.7443636363636,,,,,41.68835817010477,15.991469896201973,0.28450704225352114,
EV173,01/28/2022,8,181,1.4833333333333334,4.183333333333334,5.666666666666666,,,,,14.76725,,,,,48.932981388690045,17.097624701051622,0.26176470588235295,
EV173,01/31/2022,10,182,1.6333333333333333,4.183333333333334,5.816666666666666,,,,,28.2542,,,,,47.845581802274715,17.450256471934868,0.2808022922636103,
EV173,02/01/2022,11,178,1.95,4.116666666666666,6.066666666666666,,,,,32.4663636363636,,,,,44.00437806844392,15.595016505598917,0.32142857142857145,
EV173,02/02/2022,9,173,1.6666666666666667,4.5,6.166666666666666,,,,,26.774,,,,,47.086128122873525,15.465503429498149,0.2702702702702703,
EV173,02/03/2022,12,179,1.8333333333333333,4.133333333333334,5.966666666666667,,,,,19.157,,,,,40.596251226172484,14.649510462964782,0.30726256983240224,
EV173,02/04/2022,9,177,1.6,4.116666666666666,5.716666666666667,,,,,14.682,,,,,50.1929840840602,16.789551572148422,0.27988338192419826,
EV173,02/07/2022,9,188,1.05,4.333333333333333,5.383333333333334,,,,,27.764,,,,,49.916819109732494,18.621759087152434,0.195046439628483,
EV173,02/08/2022,12,184,1.9666666666666666,4.4,6.366666666666666,,,,,26.064505865,,,,,40.54447029348604,14.589735379658528,0.30890052356020936,
EV173,02/09/2022,9,181,1.5833333333333333,3.85,5.433333333333334,,,,,30.354,,,,,51.780932686444494,18.26119149985486,0.29141104294478526,
EV173,02/10/2022,9,183,1.05,4.166666666666667,5.216666666666667,,,,,29.516,,,,,50.607231545551755,18.699880683741934,0.2012779552715655,
EV173,02/14/2022,3,0,0.5166666666666667,0.08333333333333334,0.6000000000000001,,,,,21.296,,,,,6.420835653119117,0,0.861111111111111,
EV173,02/16/2022,10,178,1.5333333333333332,4.166666666666667,5.7,,,,,33.9098,,,,,48.90191282907818,16.729921523623382,0.26900584795321636,
EV173,02/17/2022,9,174,1.15,3.95,5.1,,,,,30.494,,,,,51.29764398137101,18.203740614807945,0.22549019607843138,
EV173,02/18/2022,10,171,2.316666666666667,3.8166666666666664,6.133333333333334,,,,,20.7356,,,,,45.60864551022031,15.62580056647399,0.3777173913043479,
EV173,02/21/2022,9,176,1.5833333333333333,4,5.583333333333333,,,,,33.116,,,,,40.87241620050019,13.798978512335283,0.2835820895522388,
EV173,02/22/2022,9,188,1.8333333333333335,4.066666666666666,5.8999999999999995,,,,,36.54,,,,,51.36668522495294,17.255507469443796,0.3107344632768362,
EV173,02/23/2022,8,181,1.6666666666666667,4,5.666666666666667,,,,,23.5985,,,,,51.10778056152071,16.42196096730867,0.29411764705882354,
EV173,02/24/2022,13,177,1.9333333333333333,4,5.933333333333334,,,,,23.0609230769231,,,,,37.80804715844086,13.517167517250089,0.32584269662921345,
EV173,02/25/2022,9,180,1.8166666666666667,3.983333333333333,5.8,,,,,21.652,,,,,50.95243776346138,16.811433332403247,0.31321839080459773,
EV173,02/28/2022,11,189,1.5666666666666667,4.333333333333333,5.9,,,,,31.1703636363636,,,,,39.42882656196901,13.622230371121605,0.2655367231638418,
EV173,03/01/2022,9,183,1.8,3.9499999999999997,5.75,,,,,33.174,,,,,52.54038636584568,16.991852424966783,0.3130434782608696,
EV173,03/02/2022,11,186,1.8333333333333333,3.9833333333333334,5.816666666666666,,,,,33.1961818181818,,,,,46.433374547189864,15.871301926508192,0.3151862464183381,
EV173,03/03/2022,11,195,1.7666666666666666,4.383333333333334,6.15,,,,,25.0470909090909,,,,,44.964679001901615,16.76496898890147,0.28726287262872624,
EV173,03/04/2022,9,177,1.3333333333333333,3.8833333333333333,5.216666666666667,,,,,27.564,,,,,46.60283941780005,18.386258123338536,0.25559105431309903,
